,Better,Standard,Worse,Critical
0,0,0,0,0
1,30764,30068,29752,285499
2,29644,28741,28365,27537
3,29121,27265,26648,26096
4,27969,25928,25298,24729
5,26601,24473,23929,23384
6,24914,22867,22435,22033
7,22945,21101,20862,20628
8,20995,19492,19356,19260
9,19119,17966,17945,17888
